FID IID CB1908_IC50 CB1908_log2_IC50
1001 1001 6.927465594 2.79232764042501
1002 1002 11.88728968 3.57134791081608
1003 1003 12.18924303 3.6075366301339
1004 1004 11.95346787 3.57935732004312
1005 1005 8.836499122 3.14347491037463
1006 1006 8.153960118 3.02750090044869
1007 1007 10.23771873 3.35582237042303
1008 1008 9.354080993 3.22559592049232
1009 1009 9.596693723 3.26253745051975
1010 1010 6.272276985 2.64898927056002
1011 1011 9.962993694 3.31657931041937
1012 1012 6.355427097 2.66798908038672
1013 1013 6.191365418 2.63025761049715
1014 1014 8.115864905 3.02074485049271
1015 1015 7.637110778 2.93302695048515
1016 1016 6.799138511 2.76535196038595
1017 1017 8.344191918 3.06077234049942
1018 1018 3.345458436 1.74220392029162
1019 1019 7.97508359 2.99549964041311
1020 1020 NA NA
1021 1021 7.032349489 2.8140067703559
1022 1022 5.751398414 2.52391278034467
1023 1023 6.7394316 2.75262692042188
1024 1024 5.790128517 2.53359537045646
1025 1025 7.134384401 2.83478895038223
1026 1026 6.879968695 2.78240200044031
1027 1027 5.442729589 2.44433036046137
1028 1028 6.442158785 2.68754422040854
1029 1029 6.21293642 2.63527529055513
1030 1030 12.59583597 3.65487497001632
1031 1031 10.96563817 3.45491787022792
1032 1032 7.118429984 2.83155908050836
1033 1033 5.932350589 2.56860386044692
1034 1034 10.92404283 3.44943497050264
1035 1035 8.618631976 3.10745889042005
1036 1036 10.91598423 3.44837031039465
1037 1037 6.160189195 2.6229746604164
1038 1038 9.146633095 3.19324078044014
1039 1039 10.32013623 3.36739010993615
1040 1040 9.252982231 3.20991842038153
1041 1041 7.325145319 2.872857380548
1042 1042 NA NA
1043 1043 8.765233418 3.131792510438
1044 1044 10.32392128 3.36791914091013
1045 1045 9.40357222 3.23320891052199
1046 1046 7.778176975 2.9594320604407
1047 1047 11.07849929 3.46969055989271
1048 1048 5.604878388 2.48668307045573
1049 1049 10.97003384 3.4554960710136
1050 1050 6.977852204 2.80278304052249
1051 1051 5.385953112 2.42920167035583
1052 1052 9.314439199 3.21946891042541
1053 1053 11.69534853 3.54786295059312
1054 1054 8.352128396 3.06214389040979
1055 1055 13.02082541 3.70274900093078
1056 1056 6.711429987 2.74662019047241
1057 1057 8.493642288 3.08638335048005
1058 1058 10.15762111 3.34449066090896
1059 1059 4.003030729 2.00109269052079
1060 1060 10.7320202 3.42384977006735
1061 1061 5.332106996 2.41470573036121
1062 1062 6.925389915 2.79189530041825
1063 1063 7.987904089 2.99781701040397
1064 1064 11.04614282 3.46547078071096
1065 1065 8.726731202 3.12544136040976
1066 1066 7.045170006 2.81663452042474
1067 1067 9.665069726 3.27278014040253
1068 1068 8.702962383 3.12150656047899
1069 1069 8.128685384 3.02302205053657
1070 1070 13.00120799 3.70057377046546
1071 1071 9.104386476 3.18656180052392
1072 1072 8.890182408 3.15221302045181
1073 1073 7.036989305 2.81495832037179
1074 1074 3.74476444 1.90487497050452
1075 1075 6.877282508 2.78183861046423
1076 1076 5.470202082 2.45159413051583
1077 1077 7.726121688 2.94974440049135
1078 1078 5.222070485 2.38462193058712
1079 1079 8.036866182 3.006633060479
1080 1080 6.77032289 2.75922464040195
1081 1081 6.124536008 2.61460055034975
1082 1082 7.77654899 2.95913007043458
1083 1083 9.485704792 3.24575497048946
1084 1084 9.859208699 3.30147186041251
1085 1085 6.126245409 2.61500316048173
1086 1086 10.29302999 3.36359583009105
1087 1087 5.228566207 2.38641538057479
1088 1088 5.824170016 2.54205247051944
1089 1089 7.062508215 2.82018064053666
1090 1090 7.108173621 2.82947892040663
1091 1091 9.214520671 3.2039091204347
1092 1092 5.882411704 2.5564077605142
1093 1093 7.024901421 2.81247798043217
1094 1094 7.978502393 2.99611797038791
1095 1095 5.083877685 2.34592932039663
1096 1096 4.859545101 2.2808212703645
1097 1097 7.9357674 2.98836974046971
1098 1098 3.002607025 1.58621567030557
1099 1099 7.900907825 2.98201843042628
1100 1100 5.199353767 2.37833232035348
1101 1101 5.838089388 2.54549630036348
1102 1102 4.655031984 2.21879108035113
1103 1103 4.381403459 2.13139307051523
1104 1104 6.871879556 2.78070475046295
1105 1105 3.471881146 1.79571756039433
1106 1106 6.688271722 2.74163346045987
1107 1107 5.290562466 2.40342111057594
1108 1108 5.05915244 2.33889571040802
1109 1109 3.151105289 1.65585796044253
1110 1110 7.921786943 2.98582590038281
1111 1111 3.9933506 1.99759974030973
1112 1112 6.323949734 2.66082590046081
1113 1113 3.499082355 1.80697662049428
1114 1114 5.379115514 2.42736897046408
1115 1115 5.986440915 2.58169854052296
1116 1116 6.778259407 2.76091485045884
1117 1117 5.530967215 2.46753179045429
1118 1118 6.254857385 2.64497699033852
1119 1119 7.215670452 2.85113345054977
