FID IID GS451_IC50 log2_GS451_IC50
1001 1001 5.594255712 2.48394620054322
1002 1002 8.52563251 3.09180687052273
1003 1003 12.7367394 3.67092409041591
1004 1004 12.17520147 3.60587374048985
1005 1005 9.93674223 3.31277294042099
1006 1006 9.16348291 3.19589605049914
1007 1007 11.0675103 3.46825881097071
1008 1008 9.388757402 3.23093423044582
1009 1009 3.238702498 1.69541595057445
1010 1010 7.410126906 2.88949825037039
1011 1011 8.247488725 3.04395490050797
1012 1012 7.410126906 2.88949825037039
1013 1013 4.562876989 2.18994376056598
1014 1014 7.51073731 2.90895454039838
1015 1015 3.65872649 1.8713415702905
1016 1016 8.521603171 3.09112487050696
1017 1017 12.31573863 3.6224312502015
1018 1018 2.931132591 1.55145823041285
1019 1019 6.90646442 2.78794735039504
1020 1020 NA NA
1021 1021 4.691692501 2.23010846054886
1022 1022 6.18448709 2.62865395035163
1023 1023 5.865317681 2.55220925051998
1024 1024 4.306711194 2.10658658038169
1025 1025 3.067151991 1.61689966032153
1026 1026 7.381921779 2.88399645044634
1027 1027 5.705977193 2.51247398042619
1028 1028 3.885954612 1.95826905032498
1029 1029 4.46312131 2.15805302033768
1030 1030 7.170078283 2.84198887037479
1031 1031 4.703169902 2.23363345049174
1032 1032 3.993402611 1.99761853042626
1033 1033 4.700972107 2.23295912039292
1034 1034 3.965807993 1.98761483030192
1035 1035 4.60695511 2.20381354044356
1036 1036 7.137477588 2.83541431035541
1037 1037 5.047736112 2.33563649037984
1038 1038 3.889007105 1.95940187049825
1039 1039 8.920259686 3.15708571039793
1040 1040 5.829908701 2.54347329034757
1041 1041 7.577281787 2.92168040041165
1042 1042 4.776063607 2.25582205035741
1043 1043 6.941629188 2.79527430049905
1044 1044 4.4533533 2.1548920703344
1045 1045 5.083755584 2.34589467034532
1046 1046 4.825147786 2.27057313033184
1047 1047 5.767271381 2.52788891051905
1048 1048 4.749079511 2.24764791057931
1049 1049 3.548958589 1.82739574041946
1050 1050 4.747125893 2.24705431031051
1051 1051 5.008175713 2.32428518044677
1052 1052 2.804881206 1.48793967024801
1053 1053 8.357378699 3.0630505103726
1054 1054 7.660187684 2.93737974038247
1055 1055 9.445289724 3.23959505039526
1056 1056 4.902437101 2.29349912054338
1057 1057 6.295475984 2.65431546035826
1058 1058 9.243824698 3.20848990046715
1059 1059 3.940655387 1.97843559032718
1060 1060 11.82929222 3.56429185062395
1061 1061 4.997308803 2.32115137052359
1062 1062 4.065563703 2.02345540030525
1063 1063 5.516600091 2.46377940051041
1064 1064 8.295840293 3.05238812043914
1065 1065 7.084852513 2.82473782054228
1066 1066 5.460312007 2.44898339035592
1067 1067 3.751278307 1.90738230038523
1068 1068 9.09339751 3.18481942038665
1069 1069 4.883633688 2.2879549905945
1070 1070 9.058598998 3.1792879404558
1071 1071 11.88521396 3.5710959700863
1072 1072 11.57630097 3.53310243070533
1073 1073 9.133446294 3.19115933043075
1074 1074 5.2341828 2.38796431033326
1075 1075 9.363116381 3.22698879039824
1076 1076 3.987053407 1.99532293051658
1077 1077 13.19131771 3.72151678068447
1078 1078 3.170448606 1.6646869904786
1079 1079 9.211101887 3.20337375043418
1080 1080 10.75713207 3.42722159100774
1081 1081 8.767878889 3.13222787044193
1082 1082 10.43014833 3.38268776985278
1083 1083 9.123922489 3.18965419048934
1084 1084 7.665438006 2.93836823037459
1085 1085 10.32440969 3.36798739114169
1086 1086 11.36225972 3.50617788066606
1087 1087 7.354205091 2.87856941037896
1088 1088 5.117943606 2.35556425058323
1089 1089 10.15456857 3.3440570410558
1090 1090 4.935037784 2.30306113039206
1091 1091 9.039673531 3.17627067045991
1092 1092 6.133034176 2.6166009903408
1093 1093 7.078695172 2.82348345036851
1094 1094 7.278869406 2.86371438050276
1095 1095 5.673498614 2.50423866047178
1096 1096 4.610251804 2.2048455503208
1097 1097 8.096369599 3.01727515051561
1098 1098 3.208521611 1.6819087005305
1099 1099 7.794701202 2.96249372046571
1100 1100 4.96059739 2.31051387055031
1101 1101 5.758654631 2.52573180057463
1102 1102 5.081208945 2.34517179059053
1103 1103 3.864953402 1.95045102033155
1104 1104 6.129745603 2.61582720035877
1105 1105 3.267721611 1.70828508032037
1106 1106 6.600848107 2.72265140040373
1107 1107 6.070616643 2.60184307045347
1108 1108 4.196973839 2.06934947049983
1109 1109 2.623257446 1.39135940037512
1110 1110 7.708234064 2.94640038038364
1111 1111 3.890380729 1.95991135031741
1112 1112 6.201092717 2.63252246041761
1113 1113 2.794380597 1.48252853041446
1114 1114 5.36943471 2.42477021036936
1115 1115 5.518187394 2.464194450494
1116 1116 6.498711442 2.70015369036813
1117 1117 4.940898607 2.30477345030492
1118 1118 6.049647996 2.59685120037082
1119 1119 6.552374382 2.71201779037699
1120 1120 6.291202502 2.65333580054849
1121 1121 8.697060924 3.12052794041514
1122 1122 6.260708022 2.6463258204275
1123 1123 5.058602999 2.33873902035724
1124 1124 5.726673136 2.51769726043359
1125 1125 6.786952897 2.76276400052697
1126 1126 3.563366389 1.83324083048705
1127 1127 5.009925814 2.32478924043311
1128 1128 4.007047274 2.00253953037341
1129 1129 4.981679993 2.31663235049489
1130 1130 5.078057604 2.34427676058876
1131 1131 6.73090904 2.75080136054676
1132 1132 3.940899587 1.97852499048496
1133 1133 7.152699392 2.83848781035203
1134 1134 7.950785674 2.99109743045708
1135 1135 9.203470669 3.20217801037979
1136 1136 6.339106387 2.66427948044225
1137 1137 4.656614912 2.21928158056515
1138 1138 5.682941012 2.50663774052795
1139 1139 5.518065304 2.46416253048594
1140 1140 8.480699707 3.08418330042226
1141 1141 10.04581823 3.32852317098326
1142 1142 3.504130466 1.80905649044913
1143 1143 4.950666584 2.30762279038125
1144 1144 11.63112387 3.53991860041201
1145 1145 2.9838798 1.57718942050044
1146 1146 7.946593576 2.99033656049976
1147 1147 5.351561582 2.41995993036986
1148 1148 4.104757805 2.03729710048456
1149 1149 4.864382615 2.28225671049479
1150 1150 8.276263626 3.04897960047407
1151 1151 6.744193503 2.75364593038047
1152 1152 5.150503597 2.36471350052388
1153 1153 6.148223413 2.62016959036553
1154 1154 8.020097805 3.00361983043682
1155 1155 5.988842205 2.58227712045071
1156 1156 6.799667591 2.76546422040155
1157 1157 5.908419004 2.56277214051673
1158 1158 5.506872783 2.46123328045992
1159 1159 10.50393742 3.39285832101711
1160 1160 4.499446037 2.16974739058256
1161 1161 5.71885874 2.51572727035701
1162 1162 6.658357208 2.73516627035597
1163 1163 7.364827785 2.8806517904843
1164 1164 4.714036798 2.23696302037953
1165 1165 7.119528897 2.83178178045459
1166 1166 5.666905209 2.50256107051708
1167 1167 4.073866489 2.02639870028077
1168 1168 4.614940446 2.20631203057639
1169 1169 7.48790458 2.90456205046112
1170 1170 7.312080587 2.87028197053611
1171 1171 6.299301791 2.65519193044049
1172 1172 5.724617818 2.51717938046184
1173 1173 5.603923807 2.48643734049205
1174 1174 7.064705985 2.82062952052965
1175 1175 6.715906991 2.74758225044287
1176 1176 5.001551766 2.32237577044475
